"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","From_PrivateTag","To","To_PrivateTag","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol","PrivateNote"
"0xc09ee2492af721fa4315e27b37bf0e884cc7af08507340bf388eb5fa557b8f53","13717880","1638317422","2021-12-01 00:10:22","0xf73c3c65bde10bf26c2e1763104e609a41702efe","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","8,787,228.049790399","$5.81","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0x8550a9f7f44acbefbe24a39563f1aa48e41cfb0feca7af20a4866a8a5c4daddc","13717882","1638317474","2021-12-01 00:11:14","0x92ffe72ee8a6a3df28d18d6ca01a8e17adf608f0","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","7,085,317.940154209646688204","$4.69","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0x61acbc466d6c421e2584d3cc46cf94dca35c7565184743480ed14181e54af43d","13717903","1638317883","2021-12-01 00:18:03","0x608d571dc8e578ef429b59cbf53ec577dbef30de","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","15,393,352.101631822004651819","$10.18","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0xe705582accafb65e752b12786d36497d2ba4a14e2e08f6ce1fc6cc07e985003c","13717934","1638318235","2021-12-01 00:23:55","0xe127db24923be8106987e049e2c0fce5dc1469f3","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","2,886,051.336207696833113906","$1.91","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0x71e3d8df44ebc5c54cdf6664f4ca5c0c3ef4affb3ef140dce618a036769b360e","13717974","1638318942","2021-12-01 00:35:42","0x92ffe72ee8a6a3df28d18d6ca01a8e17adf608f0","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","15,165,741.058233793008747426","$10.03","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0xe9a01a154826173b0544ac02886e4daecdb85a5ff57ce13e33fa09b8a2fbfb07","13717999","1638319405","2021-12-01 00:43:25","0x65db3577b93db53046b8a745e76fa8a6d65de46b","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","31,180,000","$20.62","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0x589a34452a959c5885b0464aaa4f4d689714e07fe89b88b71aca8a05f204619f","13718011","1638319581","2021-12-01 00:46:21","0x8578ebedb49c18231ccaa41610ac5eda0a5d00ee","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","75,871,996.03268699","$50.18","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0x328c1e62fe346acd555d89a8f1e5c2c5c56a06647912ae89de848aa515a08513","13718015","1638319639","2021-12-01 00:47:19","0x4fac5bb1505bd24e76254616278e08db907a9f5f","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","11,564,933.592479277871499741","$7.65","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0x5fba1ea2f694accadcee22de1eda01b370044412f9d9ca44f01173375c5ad6ab","13718062","1638320226","2021-12-01 00:57:06","0xbd8aa114a16cb83933fb88e59fb18637a2ff47af","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","74,354,556.1120332502","$49.17","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
"0x7b680bc35d7145dd05756dc6907091e0ca9fb5bdad871a9bc965b9ca98fb09aa","13718071","1638320335","2021-12-01 00:58:55","0x92ffe72ee8a6a3df28d18d6ca01a8e17adf608f0","-","0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce","ihsanalikapahi","2,905,540.10908040766707896","$1.92","0x777e2ae845272a2f540ebf6a3d03734a5a8f618e","Ryoshis Vision","RYOSHI",""
